ID,T1,Year,Sensations,Manipulations,Stimuli,Grounding Methods,Stimulating Methods,Source to Mechanical Mechanism,Simple to Complex Mechanism,web,Meeting name,TITLE
11,yamaoka2013depend,2013,Abstracted,Tool mediated,Force/movements across joints,"Ungrounding (handheld,portable)",Grasped,Electromagnetic Mechs,Mechanical structures (multiple 1 Dof to a multi-Dof),https://dl.acm.org/doi/10.1145/2501988.2502017,ACM UIST,dePENd: augmented handwriting system using ferromagnetism of a ballpoint pen
12,hu2019pneu,2019,Shape,Enclosure,Whole proximate objects,Grounding-on-multiple-body-parts,Grasped,Existing devices,Fluidic Mechs,https://doi.org/10.1145/3332167.3357107,ACM UIST,Pneu-Multi-Tools: Auto-Folding and Multi-Shapes Interface by Pneumatics in Virtual Reality
13,teng2018pupop,2018,Shape,Enclosure,Whole proximate objects,Grounding-on-multiple-body-parts,Grasped,Existing devices,Fluidic Mechs,https://doi.org/10.1145/3242587.3242628,ACM UIST,PuPoP: Pop-up Prop on Palm for Virtual Reality
14,suzuki2020lifttiles,2020,Shape,Static contact,Whole proximate objects,Grounding-off-body,Grasped,Existing devices,Fluidic Mechs,https://doi.org/10.1145/3374920.3374941,ACM TEI,LiftTiles: Constructive Building Blocks for Prototyping Room-Scale Shape-Changing Interfaces
14,suzuki2020lifttiles,2020,Shape,Static contact,Whole proximate objects,Grounding-off-body,Grasped,Existing devices,Fluidic Mechs,https://doi.org/10.1145/3374920.3374941,ACM TEI,LiftTiles: Constructive Building Blocks for Prototyping Room-Scale Shape-Changing Interfaces
15,carter2013ultrahaptics,2013,Abstracted,NA,Vibration,"Ungrounding (handheld,portable)",Grasped,Existing devices,NA,https://dl.acm.org/doi/10.1145/2501988.2502018,ACM UIST,UltraHaptics: multi-point mid-air haptic feedback for touch surfaces
16,kim2013tactile,2013,Fine roughness,Lateral motion,Partial proximate objects,"Ungrounding (handheld,portable)",Grasped,Electromagnetic Mechs,NA,https://dl.acm.org/doi/10.1145/2501988.2502020,ACM UIST,Tactile rendering of 3D features on touch surfaces
17,sonar2016soft,2015,NA,NA,Vibration,NA,NA,Existing devices,NA,https://www.frontiersin.org/article/10.3389/frobt.2015.00038,FRONTIERS IN ROBOTICS AND AI,"Soft Pneumatic Actuator Skin with Piezoelectric Sensors for Vibrotactile Feedback

Source: FRONTIERS IN ROBOTICS AND AI 2: 1

Date: 2016 

Document Type: Journal :  

DOI: 10.3389/frobt.2015.00038

Language:  

LCR: 0   CR: 17   LCS: 0   GCS: 30   OCS: 

Comment:  

Address:  

Reprint:  

E-mail:  

Author Keywords: wearable technology; soft skin; smart actuators; soft sensor; soft actuator; vibrotactile feedback

KeyWords Plus:  

Abstract: The latest wearable technologies demand more intuitive and sophisticated interfaces for communication, sensing, and feedback closer to the body. Evidently, such interfaces require flexibility and conformity without losing their functionality even on rigid surfaces. Although there have been various research efforts in creating tactile feedback to improve various haptic interfaces and master slave manipulators, we are yet to see a comprehensive device that can both supply vibratory actuation and tactile sensing. This paper describes a soft pneumatic actuator (SPA)-based skin prototype that allows bidirectional tactile information transfer to facilitate simpler and responsive wearable interface. We describe the design and fabrication of a 1.4 mm-thick vibratory SPA skin that is integrated with piezoelectric sensors. We examine in detail the mechanical performance compared to the SPA model and the sensitivity of the sensors for the application in vibrotactile feedback. Experimental findings show that this ultra-thin SPA and the unique integration process of the discrete lead zirconate titanate (PZT)-based piezoelectric sensors achieve high resolution of soft contact sensing as well as accurate control on vibrotactile feedback by closing the control loop.


Cited References: 
"
18,stanley2014d13,2015,Hardness,NA,Partial proximate objects,NA,Encountered,Existing devices,NA,https://ieeexplore.ieee.org/document/6775542,IEEE Transactions on Haptics,"Controllable Surface Haptics via Particle Jamming and Pneumatics

Source: IEEE TRANSACTIONS ON HAPTICS 8: 20-30

Date: 2015 

Document Type: Journal :  

DOI: 10.1109/TOH.2015.2391093

Language:  

LCR: 0   CR: 19   LCS: 0   GCS: 32   OCS: 

Comment:  

Address:  

Reprint:  

E-mail:  

Author Keywords: Haptic device design; haptic I/O; particle jamming; tactile display

KeyWords Plus:  

Abstract: The combination of particle jamming and pneumatics allows the simultaneous control of shape and mechanical properties in a tactile display. A hollow silicone membrane is molded into an array of thin cells, each filled with coffee grounds such that adjusting the vacuum level in any individual cell rapidly switches it between flexible and rigid states. The array clamps over a pressure-regulated air chamber with internal mechanisms designed to pin the nodes between cells at any given height. Various sequences of cell vacuuming, node pinning, and chamber pressurization allow the surface to balloon into a variety of shapes. Experiments were performed to expand existing physical models of jamming at the inter-particle level to define the rheological characteristics of jammed systems from a macroscopic perspective, relevant to force-displacement interactions that would be experienced by human users. Force-displacement data show that a jammed cell in compression fits a Maxwell model and a cell deflected in the center while supported only at the edges fits a Zener model, each with stiffness and damping parameters that increase at higher levels of applied vacuum. This provides framework to tune and control the mechanical properties of a jamming haptic interface. 
"
18,stanley2014d13,2015,Shape,NA,Partial proximate objects,NA,Encountered,Existing devices,NA,https://ieeexplore.ieee.org/document/6775542,IEEE Transactions on Haptics,"Controllable Surface Haptics via Particle Jamming and Pneumatics

Source: IEEE TRANSACTIONS ON HAPTICS 8: 20-30

Date: 2015 

Document Type: Journal :  

DOI: 10.1109/TOH.2015.2391093

Language:  

LCR: 0   CR: 19   LCS: 0   GCS: 32   OCS: 

Comment:  

Address:  

Reprint:  

E-mail:  

Author Keywords: Haptic device design; haptic I/O; particle jamming; tactile display

KeyWords Plus:  

Abstract: The combination of particle jamming and pneumatics allows the simultaneous control of shape and mechanical properties in a tactile display. A hollow silicone membrane is molded into an array of thin cells, each filled with coffee grounds such that adjusting the vacuum level in any individual cell rapidly switches it between flexible and rigid states. The array clamps over a pressure-regulated air chamber with internal mechanisms designed to pin the nodes between cells at any given height. Various sequences of cell vacuuming, node pinning, and chamber pressurization allow the surface to balloon into a variety of shapes. Experiments were performed to expand existing physical models of jamming at the inter-particle level to define the rheological characteristics of jammed systems from a macroscopic perspective, relevant to force-displacement interactions that would be experienced by human users. Force-displacement data show that a jammed cell in compression fits a Maxwell model and a cell deflected in the center while supported only at the edges fits a Zener model, each with stiffness and damping parameters that increase at higher levels of applied vacuum. This provides framework to tune and control the mechanical properties of a jamming haptic interface. 
"
19,gugenheimer2016gyrovr,2016,Haptic effects,NA,Force/movements across joints,Grounding-on-one-body-part,Worn,Electromagnetic Mechs,NA,https://doi.org/10.1145/2984511.2984535,ACM UIST,GyroVR: Simulating Inertia in Virtual Reality Using Head Worn Flywheels
20,teng2019aarnio,2019,Haptic effects,NA,Force/movements across joints,"Ungrounding (handheld,portable)",Encountered,Electromagnetic Mechs,Spatial distribution of simple actuators,https://doi.org/10.1145/3290605.3300902,ACM CHI,Aarnio: Passive Kinesthetic Force Output for Foreground Interactions on an Interactive Chair}
21,ye2019pull,2019,Haptic effects,NA,Force/movements across joints,Grounding-off-body,Grasped,Existing devices,NA,https://doi.org/10.1145/3332165.3347874,ACM UIST,Pull-Ups: Enhancing Suspension Activities in Virtual Reality with Body-Scale Kinesthetic Force Feedback
22,cheng2017mutual,2017,Haptic effects,NA,NA,Grounding-off-body,Encountered,People,NA,https://doi.org/10.1145/3126594.3126667,ACM UIST,
23,cheng2015turkdeck,2015,NA,Static contact,Whole proximate objects,Moving-off-body,Encountered,People,NA,https://doi.org/10.1145/2807442.2807463,ACM UIST,
24,suzuki2020roomshift,2020,NA,NA,Whole proximate objects,Moving-off-body,Encountered,Existing devices,NA,https://doi.org/10.1145/3313831.3376523,ACM CHI,RoomShift: Room-scale Dynamic Haptics for VR with Furniture-moving Swarm Robots
25,kim2013haptic,2013,Mechanical Mechs,Tool mediated,Vibration,"Ungrounding (handheld,portable)",Encountered,Electromagnetic Mechs,NA,https://dl.acm.org/doi/10.1145/2501988.2502041,ACM UIST,Haptic feedback design for a virtual button along force-displacement curves
26,whitmire2018haptic,2018,NA,Static contact,Partial proximate objects,"Ungrounding (handheld,portable)",Grasped,Electromagnetic Mechs,NA,https://doi.org/10.1145/3173574.3173660,ACM CHI,"Haptic Revolver: Touch, Shear, Texture, and Shape Rendering on a Reconfigurable Virtual Reality Controller"
27,hoppe2018vrhapticdrones,2018,NA,Static contact,Partial proximate objects,Moving-off-body,Encountered,Existing devices,NA,https://doi.org/10.1145/3282894.3282898,ACM MUM,VRHapticDrones: Providing Haptics in Virtual Reality through Quadcopters
28,araujo2016snake,2016,NA,Static contact,Partial proximate objects,Grounding-off-body,Encountered,Existing devices,NA,https://doi.org/10.1145/2839462.2839484,ACM TEI,"Snake Charmer: Physically Enabling Virtual Objects

Source: PROCEEDINGS OF THE TENTH ANNIVERSARY CONFERENCE ON TANGIBLE EMBEDDED AND EMBODIED INTERACTION (TEI16) 6949: 218-226

Date: 2016 

Document Type: Journal :  

DOI: 10.1145/2839462.2839484

Language:  

LCR: 0   CR: 14   LCS: 0   GCS: 32   OCS: 

Comment:  

Address:  

Reprint:  

E-mail:  

Author Keywords:  

KeyWords Plus:  

Abstract: Augmented and virtual reality have the potential of being indistinguishable from the real world. Holographic displays, including head mounted units, support this vision by creating rich stereoscopic scenes, with objects that appear to float in thin air - often within arms reach. However, one has but to reach out and grasp nothing but air to destroy the suspension of disbelief. Snake-charmer is an attempt to provide physical form to virtual objects by revisiting the concept of Robotic Graphics or Encountered-type Haptic interfaces with current commodity hardware. By means of a robotic arm, Snake-charmer brings physicality to a virtual scene and explores what it means to truly interact with an object. We go beyond texture and position simulation and explore what it means to have a physical presence inside a virtual scene. We demonstrate how to render surface characteristics beyond texture and position, including temperature; how to physically move objects; and how objects can physically interact with the users hand. We analyze our implementation, present the performance characteristics, and provide guidance for the construction of future physical renderers. 
"
29,fang2020wireality,2020,Shape,Static contact,Force/movements across joints,Grounding-on-multiple-body-parts,Worn,Electromagnetic Mechs,String-based and rod-based Mechs,https://doi.org/10.1145/3313831.3376470,ACM CHI,Wireality: Enabling Complex Tangible Geometries in Virtual Reality with Worn Multi-String Haptics
30,yatani2012spacesense,2012,Abstracted,NA,Vibration,"Ungrounding (handheld,portable)",Worn,Electromagnetic Mechs,Spatial distribution of simple actuators,https://dl.acm.org/doi/10.1145/2207676.2207734,ACM CHI,"SpaceSense: Representing Geographical Information to
Visually Impaired People Using Spatial Tactile Feedback"
31,rekimoto2014traxion,2013,Abstracted,NA,Force/movements across joints,"Ungrounding (handheld,portable)",Encountered,Electromagnetic Mechs,NA,https://dl.acm.org/doi/10.1145/2501988.2502044,ACM UIST,
32,tsai2019elasticvr,2019,Hardness,Pressure,Force/movements across joints,Grounding-on-multiple-body-parts,Worn,Electromagnetic Mechs,String-based and rod-based Mechs,https://doi.org/10.1145/3290605.3300450,ACM CHI,ElasticVR: Providing Multilevel Continuously-Changing Resistive Force and Instant Impact Using Elasticity for VR
32,tsai2019elasticvr,2019,Hardness,Pressure,Force/movements across joints,Grounding-on-multiple-body-parts,Worn,Electromagnetic Mechs,NA,https://doi.org/10.1145/3290605.3300450,ACM CHI,ElasticVR: Providing Multilevel Continuously-Changing Resistive Force and Instant Impact Using Elasticity for VR
32,tsai2019elasticvr,2019,Force/motion,Pressure,Force/movements across joints,Grounding-on-multiple-body-parts,Worn,Electromagnetic Mechs,String-based and rod-based Mechs,https://doi.org/10.1145/3290605.3300450,ACM CHI,ElasticVR: Providing Multilevel Continuously-Changing Resistive Force and Instant Impact Using Elasticity for VR
32,tsai2019elasticvr,2019,Force/motion,Pressure,Force/movements across joints,Grounding-on-multiple-body-parts,Worn,Electromagnetic Mechs,NA,https://doi.org/10.1145/3290605.3300450,ACM CHI,ElasticVR: Providing Multilevel Continuously-Changing Resistive Force and Instant Impact Using Elasticity for VR
32,tsai2019elasticvr,2019,Hardness,Pressure,Force/movements across joints,Grounding-on-multiple-body-parts,Worn,Material-flexibility-based Mechs,String-based and rod-based Mechs,https://doi.org/10.1145/3290605.3300450,ACM CHI,ElasticVR: Providing Multilevel Continuously-Changing Resistive Force and Instant Impact Using Elasticity for VR
32,tsai2019elasticvr,2019,Hardness,Pressure,Force/movements across joints,Grounding-on-multiple-body-parts,Worn,Material-flexibility-based Mechs,NA,https://doi.org/10.1145/3290605.3300450,ACM CHI,ElasticVR: Providing Multilevel Continuously-Changing Resistive Force and Instant Impact Using Elasticity for VR
32,tsai2019elasticvr,2019,Force/motion,Pressure,Force/movements across joints,Grounding-on-multiple-body-parts,Worn,Material-flexibility-based Mechs,String-based and rod-based Mechs,https://doi.org/10.1145/3290605.3300450,ACM CHI,ElasticVR: Providing Multilevel Continuously-Changing Resistive Force and Instant Impact Using Elasticity for VR
32,tsai2019elasticvr,2019,Force/motion,Pressure,Force/movements across joints,Grounding-on-multiple-body-parts,Worn,Material-flexibility-based Mechs,NA,https://doi.org/10.1145/3290605.3300450,ACM CHI,ElasticVR: Providing Multilevel Continuously-Changing Resistive Force and Instant Impact Using Elasticity for VR
33,choi2016wolverine,2016,Shape,Enclosure,Force/movements across joints,Grounding-on-multiple-body-parts,Worn,Electromagnetic Mechs,NA,https://doi.org/10.1145/2984751.2985725,ACM UIST,Wolverine: A Wearable Haptic Interface for Grasping in VR
34.1,hinchet2018dextres,2018,NA,Enclosure,Force/movements across joints,Grounding-on-multiple-body-parts,Worn,Electrostatic Mechs,String-based and rod-based Mechs,https://doi.org/10.1145/3242587.3242658,ACM UIST,DextrES: Wearable Haptic Feedback for Grasping in VR via a Thin Form-Factor Electrostatic Brake
34.1,hinchet2018dextres,2018,NA,NA,Force/movements across joints,Grounding-on-multiple-body-parts,Worn,Electrostatic Mechs,String-based and rod-based Mechs,https://doi.org/10.1145/3242587.3242658,ACM UIST,DextrES: Wearable Haptic Feedback for Grasping in VR via a Thin Form-Factor Electrostatic Brake
34.2,hinchet2018dextres,2018,NA,NA,Vibration,Grounding-on-one-body-part,Worn,Electrostatic Mechs,NA,https://doi.org/10.1145/3242587.3242657,ACM UIST,DextrES: Wearable Haptic Feedback for Grasping in VR via a Thin Form-Factor Electrostatic Brake
35,lee2019torc,2019,Fine roughness,Lateral motion,Force/movements across joints,"Ungrounding (handheld,portable)",Grasped,Electromagnetic Mechs,NA,https://doi.org/10.1145/3290605.3300301,ACM CHI,TORC: A Virtual Reality Controller for In-Hand High-Dexterity Finger Interaction
35,lee2019torc,2019,Fine roughness,Pressure,Force/movements across joints,"Ungrounding (handheld,portable)",Grasped,Electromagnetic Mechs,NA,https://doi.org/10.1145/3290605.3300301,ACM CHI,TORC: A Virtual Reality Controller for In-Hand High-Dexterity Finger Interaction
35,lee2019torc,2019,Hardness,Lateral motion,Force/movements across joints,"Ungrounding (handheld,portable)",Grasped,Electromagnetic Mechs,NA,https://doi.org/10.1145/3290605.3300301,ACM CHI,TORC: A Virtual Reality Controller for In-Hand High-Dexterity Finger Interaction
35,lee2019torc,2019,Hardness,Pressure,Force/movements across joints,"Ungrounding (handheld,portable)",Grasped,Electromagnetic Mechs,NA,https://doi.org/10.1145/3290605.3300301,ACM CHI,TORC: A Virtual Reality Controller for In-Hand High-Dexterity Finger Interaction
36.1,choi2017grabity,2017,Hardness,Pressure,Force/movements across joints,"Ungrounding (handheld,portable)",Grasped,Electromagnetic Mechs,NA,https://doi.org/10.1145/3126594.3126599,ACM UIST,"Grabity: A Wearable Haptic Interface for Simulating Weight and Grasping in Virtual Reality

Source: UIST'17: PROCEEDINGS OF THE 30TH ANNUAL ACM SYMPOSIUM ON USER INTERFACE SOFTWARE AND TECHNOLOGY 0: 119-130

Date: 2017 

Document Type: Journal :  

DOI: 10.1145/3126594.3126599

Language:  

LCR: 1   CR: 25   LCS: 17   GCS: 36   OCS: 

Comment:  

Address:  

Reprint:  

E-mail:  

Author Keywords: Haptics; Virtual Reality; Mass Perception; Weight Force; Grasp

KeyWords Plus:  

Abstract: Ungrounded haptic devices for virtual reality (VR) applications lack the ability to convincingly render the sensations of a grasped virtual objects rigidity and weight. We present Grabity, a wearable haptic device designed to simulate kinesthetic pad opposition grip forces and weight for grasping virtual objects in VR. The device is mounted on the index finger and thumb and enables precision grasps with a wide range of motion. A unidirectional brake creates rigid grasping force feedback. Two voice coil actuators create virtual force tangential to each finger pad through asymmetric skin deformation. These forces can be perceived as gravitational and inertial forces of virtual objects. The rotational orientation of the voice coil actuators is passively aligned with the real direction of gravity through a revolute joint, causing the virtual forces to always point downward. This paper evaluates the performance of Grabity through two user studies, finding promising ability to simulate different levels of weight with convincing object rigidity. The first user study shows that Grabity can convey various magnitudes of weight and force sensations to users by manipulating the amplitude of the asymmetric vibration. The second user study shows that users can differentiate different weights in a virtual environment using Grabity.


Cited References: 
"
36.1,choi2017grabity,2017,Size,Pressure,Force/movements across joints,"Ungrounding (handheld,portable)",Grasped,Electromagnetic Mechs,NA,https://doi.org/10.1145/3126594.3126599,ACM UIST,"Grabity: A Wearable Haptic Interface for Simulating Weight and Grasping in Virtual Reality

Source: UIST'17: PROCEEDINGS OF THE 30TH ANNUAL ACM SYMPOSIUM ON USER INTERFACE SOFTWARE AND TECHNOLOGY 0: 119-130

Date: 2017 

Document Type: Journal :  

DOI: 10.1145/3126594.3126599

Language:  

LCR: 1   CR: 25   LCS: 17   GCS: 36   OCS: 

Comment:  

Address:  

Reprint:  

E-mail:  

Author Keywords: Haptics; Virtual Reality; Mass Perception; Weight Force; Grasp

KeyWords Plus:  

Abstract: Ungrounded haptic devices for virtual reality (VR) applications lack the ability to convincingly render the sensations of a grasped virtual objects rigidity and weight. We present Grabity, a wearable haptic device designed to simulate kinesthetic pad opposition grip forces and weight for grasping virtual objects in VR. The device is mounted on the index finger and thumb and enables precision grasps with a wide range of motion. A unidirectional brake creates rigid grasping force feedback. Two voice coil actuators create virtual force tangential to each finger pad through asymmetric skin deformation. These forces can be perceived as gravitational and inertial forces of virtual objects. The rotational orientation of the voice coil actuators is passively aligned with the real direction of gravity through a revolute joint, causing the virtual forces to always point downward. This paper evaluates the performance of Grabity through two user studies, finding promising ability to simulate different levels of weight with convincing object rigidity. The first user study shows that Grabity can convey various magnitudes of weight and force sensations to users by manipulating the amplitude of the asymmetric vibration. The second user study shows that users can differentiate different weights in a virtual environment using Grabity.


Cited References: 
"
36.2,choi2017grabity,2017,Mass,Unsupported holding,Force/deformations on the skin,"Ungrounding (handheld,portable)",Grasped,Electromagnetic Mechs,NA,https://doi.org/10.1145/3126594.3126599,ACM UIST,"Grabity: A Wearable Haptic Interface for Simulating Weight and Grasping in Virtual Reality

Source: UIST'17: PROCEEDINGS OF THE 30TH ANNUAL ACM SYMPOSIUM ON USER INTERFACE SOFTWARE AND TECHNOLOGY 0: 119-130

Date: 2017 

Document Type: Journal :  

DOI: 10.1145/3126594.3126599

Language:  

LCR: 1   CR: 25   LCS: 17   GCS: 36   OCS: 

Comment:  

Address:  

Reprint:  

E-mail:  

Author Keywords: Haptics; Virtual Reality; Mass Perception; Weight Force; Grasp

KeyWords Plus:  

Abstract: Ungrounded haptic devices for virtual reality (VR) applications lack the ability to convincingly render the sensations of a grasped virtual objects rigidity and weight. We present Grabity, a wearable haptic device designed to simulate kinesthetic pad opposition grip forces and weight for grasping virtual objects in VR. The device is mounted on the index finger and thumb and enables precision grasps with a wide range of motion. A unidirectional brake creates rigid grasping force feedback. Two voice coil actuators create virtual force tangential to each finger pad through asymmetric skin deformation. These forces can be perceived as gravitational and inertial forces of virtual objects. The rotational orientation of the voice coil actuators is passively aligned with the real direction of gravity through a revolute joint, causing the virtual forces to always point downward. This paper evaluates the performance of Grabity through two user studies, finding promising ability to simulate different levels of weight with convincing object rigidity. The first user study shows that Grabity can convey various magnitudes of weight and force sensations to users by manipulating the amplitude of the asymmetric vibration. The second user study shows that users can differentiate different weights in a virtual environment using Grabity.


Cited References: 
"
