ID,Name,Title,Paper link,Year,Venue,Sensations,Manipulations,Stimuli,Grounding Methods,Stimulating Methods,Source to Mechanical Mechanisms,Simple to Complex Mechanisms
11,yamaoka2013depend,dePENd: augmented handwriting system using ferromagnetism of a ballpoint pen,,2013,ACM UIST,Abstracted,Tool mediated,Force/movements across joints,"Ungrounding (handheld,portable) (handheld,portable)",Grasped,Electromagnetic Mechs,Mechanical structures (multiple 1 Dof to a multi-Dof)
12,hu2019pneu,Pneu-Multi-Tools: Auto-Folding and Multi-Shapes Interface by Pneumatics in Virtual Reality,https://doi.org/10.1145/3332167.3357107,2019,ACM UIST,Shape,Enclosure,Whole proximate objects,Grounding-on-multiple-body-parts,Grasped,Existing devices,Fluidic Mechs
13,teng2018pupop,PuPoP: Pop-up Prop on Palm for Virtual Reality,https://doi.org/10.1145/3242587.3242628,2018,ACM UIST,Shape,Enclosure,Whole proximate objects,Grounding-on-multiple-body-parts,Grasped,Existing devices,Fluidic Mechs
14,suzuki2020lifttiles,LiftTiles: Constructive Building Blocks for Prototyping Room-Scale Shape-Changing Interfaces,"@inproceedings{10.1145/3374920.3374941,
author = {Suzuki, Ryo and Nakayama, Ryosuke and Liu, Dan and Kakehi, Yasuaki and Gross, Mark D. and Leithinger, Daniel},
title = {LiftTiles: Constructive Building Blocks for Prototyping Room-Scale Shape-Changing Interfaces},
year = {2020},
isbn = {9781450361071},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3374920.3374941 },
doi = {10.1145/3374920.3374941},
booktitle = {Proceedings of the Fourteenth International Conference on Tangible, Embedded, and Embodied Interaction},
pages = {143–151},
numpages = {9},
keywords = {large-scale interactions, inflatables, Shape-changing interfaces},
location = {Sydney NSW, Australia},
series = {TEI ’20}
}
  
",2020,ACM TEI,Shape,Static contact,Whole proximate objects,Grounding-off-body,Grasped,Existing devices,Fluidic Mechs
15,carter2013ultrahaptics,UltraHaptics: multi-point mid-air haptic feedback for touch surfaces,,2013,ACM UIST,Abstracted  ,NA,Vibration,"Ungrounding (handheld,portable) (handheld,portable)",Grasped,Existing devices,NA
16,kim2013tactile,Tactile rendering of 3D features on touch surfaces,,2013,ACM UIST,Fine roughness,Lateral motion,Partial proximate objects,"Ungrounding (handheld,portable) (handheld,portable)",Grasped,Electromagnetic Mechs,NA
17,sonar2016soft,"Soft Pneumatic Actuator Skin with Piezoelectric Sensors for Vibrotactile Feedback

",https://www.frontiersin.org/article/10.3389/frobt.2015.00038,2015,FRONTIERS IN ROBOTICS AND AI,NA,NA,Vibration,NA,NA,Existing devices,NA
18,stanley2014d13,"Controllable Surface Haptics via Particle Jamming and Pneumatics

",https://ieeexplore.ieee.org/document/6775542,2015,IEEE Transactions on Haptics,"Hardness, Shape",NA,Partial proximate objects,NA,Encountered,Existing devices,NA
19,gugenheimer2016gyrovr,GyroVR: Simulating Inertia in Virtual Reality Using Head Worn Flywheels,https://doi.org/10.1145/2984511.2984535,2016,ACM UIST,Haptic effects,NA,Force/movements across joints,Grounding-on-one-body-part,Worn,Electromagnetic Mechs,NA
20,teng2019aarnio,Aarnio: Passive Kinesthetic Force Output for Foreground Interactions on an Interactive Chair},https://doi.org/10.1145/3290605.3300902,2019,ACM CHI,Haptic effects,NA,Force/movements across joints,"Ungrounding (handheld,portable) (handheld,portable)",Encountered,Electromagnetic Mechs,Spatial distribution of simple actuators
21,ye2019pull,Pull-Ups: Enhancing Suspension Activities in Virtual Reality with Body-Scale Kinesthetic Force Feedback,https://doi.org/10.1145/3332165.3347874,2019,ACM UIST,Haptic effects,NA,Force/movements across joints,Grounding-off-body,Grasped,Existing devices,NA
22,cheng2017mutual,Mutual Human Actuation,https://doi.org/10.1145/3126594.3126667,2017,ACM UIST,Haptic effects,NA,NA,Moving-off-body,Encountered,People,NA
23,cheng2015turkdeck,TurkDeck: Physical Virtual Reality Based on People,https://doi.org/10.1145/2807442.2807463,2015,ACM UIST,NA,Static contact,Whole proximate objects,Moving-off-body,Encountered,People,NA
24,suzuki2020roomshift,RoomShift: Room-scale Dynamic Haptics for VR with Furniture-moving Swarm Robots,https://doi.org/10.1145/3313831.3376523,2020,ACM CHI,NA,NA,Whole proximate objects,Moving-off-body,Encountered,Existing devices,NA
25,kim2013haptic,Haptic feedback design for a virtual button along force-displacement curves,,2013,ACM UIST,Mechanical Mechs,Tool mediated,Vibration,"Ungrounding (handheld,portable) (handheld,portable)",Encountered,Electromagnetic Mechs,NA
26,whitmire2018haptic,"Haptic Revolver: Touch, Shear, Texture, and Shape Rendering on a Reconfigurable Virtual Reality Controller",https://doi.org/10.1145/3173574.3173660,2018,ACM CHI,NA,Static contact,Partial proximate objects,"Ungrounding (handheld,portable) (handheld,portable)",Grasped,Electromagnetic Mechs,NA
27,hoppe2018vrhapticdrones,VRHapticDrones: Providing Haptics in Virtual Reality through Quadcopters,https://doi.org/10.1145/3282894.3282898,2018,ACM MUM,NA,Static contact,Partial proximate objects,Moving-off-body,Encountered,Existing devices,NA
28,araujo2016snake,Snake Charmer: Physically Enabling Virtual Objects,https://doi.org/10.1145/2839462.2839484,2016,ACM TEI,NA,Static contact ,Partial proximate objects,Grounding-off-body,Encountered,Existing devices,NA
29,fang2020wireality,Wireality: Enabling Complex Tangible Geometries in Virtual Reality with Worn Multi-String Haptics,https://doi.org/10.1145/3313831.3376470,2020,ACM CHI,Shape,Static contact,Force/movements across joints,Grounding-on-multiple-body-parts,Worn,Electromagnetic Mechs,String-based and rod-based Mechs
30,yatani2012spacesense,SpaceSense: Representing Geographical Information to Visually Impaired People Using Spatial Tactile Feedback,https://dl.acm.org/doi/10.1145/2207676.2207734,2012,ACM CHI,Abstracted,NA,Vibration,"Ungrounding (handheld,portable) (handheld,portable)",Encountered,Electromagnetic Mechs,Spatial distribution of simple actuators
31,rekimoto2014traxion,Traxion: a tactile interaction device with virtual force sensation,https://dl.acm.org/doi/10.1145/2501988.2502044,2013,ACM UIST,Abstracted,NA,Force/movements across joints,"Ungrounding (handheld,portable) (handheld,portable)",Encountered,Electromagnetic Mechs,NA
32,tsai2019elasticvr,ElasticVR: Providing Multilevel Continuously-Changing Resistive Force and Instant Impact Using Elasticity for VR,https://doi.org/10.1145/3290605.3300450,2019,ACM CHI,"Hardness, Force/motion",Pressure,Force/movements across joints,Grounding-on-multiple-body-parts,Worn,"Electromagnetic Mechs,Material-flexibility-based Mechs","String-based and rod-based Mechs, NA"
33,choi2016wolverine,Wolverine: A Wearable Haptic Interface for Grasping in VR,https://doi.org/10.1145/2984751.2985725,2016,ACM UIST,Shape,Enclosure,Force/movements across joints,Grounding-on-multiple-body-parts,Worn,Electromagnetic Mechs,NA
34.1,hinchet2018dextres,DextrES: Wearable Haptic Feedback for Grasping in VR via a Thin Form-Factor Electrostatic Brake,https://doi.org/10.1145/3242587.3242657,2018,ACM UIST,NA,"Enclosure,NA",Force/movements across joints,Grounding-on-multiple-body-parts,Worn,Electrostatic Mechs,String-based and rod-based Mechs
35,lee2019torc,TORC: A Virtual Reality Controller for In-Hand High-Dexterity Finger Interaction,https://doi.org/10.1145/3290605.3300301,2019,ACM CHI,"Fine roughness, Hardness",Lateral motion,Force/movements across joints,"Ungrounding (handheld,portable) (handheld,portable)",Grasped,Electromagnetic Mechs,NA
36.1,choi2017grabity,Grabity: A Wearable Haptic Interface for Simulating Weight and Grasping in Virtual Reality,https://doi.org/10.1145/3126594.3126599,2017,ACM UIST,"Hardness, Size,Mass","Pressure,Unsupported holding",Force/movements across joints,"Ungrounding (handheld,portable) (handheld,portable)",Grasped,Electromagnetic Mechs,NA
37.1,choi2018claw,"CLAW: A Multifunctional Handheld Haptic Controller for Grasping, Touching, and Triggering in Virtual Reality
",https://doi.org/10.1145/3173574.3174228,2018,ACM CHI,"Size, Mechanical Mechs","NA,Pressure",Force/movements across joints,"Ungrounding (handheld,portable) (handheld,portable)",Worn,Electromagnetic Mechs,NA
38,sinclair2019capstancrunch,CapstanCrunch: A Haptic VR Controller with User-Supplied Force Feedback,https://doi.org/10.1145/3332165.3347891,2019,ACM UIST,"Hardness, Size","NA,Pressure",Force/movements across joints,Grounding-on-multiple-body-parts,Worn,Electromagnetic Mechs,String-based and rod-based Mechs
39,zhou2014rml,"RML Glove-An Exoskeleton Glove Mechanism With Haptics Feedback
","@ARTICLE{6750032,  author={Z. {MA} and P. {Ben-Tzvi}},  journal={IEEE/ASME Transactions on Mechatronics},   title={RML Glove—An Exoskeleton Glove Mechanism With Haptics Feedback},   year={2015},  volume={20},  number={2},  pages={641-652},}",2015,IEEE/ASME Transactions on Mechatronics,"Hardness, Shape","Pressure,Static contact",Force/movements across joints,Grounding-on-multiple-body-parts,Worn,Electromagnetic Mechs,Mechanical structures (multiple 1 Dof to a multi-Dof)
40,ben2014sensing,Sensing and Force-Feedback Exoskeleton (SAFE) Robotic Glove,"@ARTICLE{6975202,  author={P. {Ben-Tzvi} and Z. {Ma}},  journal={IEEE Transactions on Neural Systems and Rehabilitation Engineering},   title={Sensing and Force-Feedback Exoskeleton (SAFE) Robotic Glove},   year={2015},  volume={23},  number={6},  pages={992-1002},}",2015,IEEE Transactions on Neural Systems and Rehabilitation Engineering,NA,NA,Force/movements across joints,Grounding-on-multiple-body-parts,Worn,Electromagnetic Mechs,Mechanical structures (multiple 1 Dof to a multi-Dof)
41,sarakoglou2016hexotrac,HEXOTRAC: A highly Under-Actuated Hand Exoskeleton for Finger Tracking and Force Feedback,"@INPROCEEDINGS{7759176,  author={I. {Sarakoglou} and A. {Brygo} and D. {Mazzanti} and N. G. {Hernandez} and D. G. {Caldwell} and N. G. {Tsagarakis}},  booktitle={2016 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)},   title={HEXOTRAC: A highly under-actuated hand exoskeleton for finger tracking and force feedback},   year={2016},  volume={},  number={},  pages={1033-1040},}",2016,IEEE/RSJ IROS,"Hardness, Shape","Pressure,Static contact",Force/movements across joints,Grounding-on-multiple-body-parts,Worn,Electromagnetic Mechs,Mechanical structures (multiple 1 Dof to a multi-Dof)
42,gabardi2016new,"A New Wearable Fingertip Haptic Interface for the Rendering of Virtual Shapes and Surface Features
","@INPROCEEDINGS{7463168,  author={M. {Gabardi} and M. {Solazzi} and D. {Leonardis} and A. {Frisoli}},  booktitle={2016 IEEE Haptics Symposium (HAPTICS)},   title={A new wearable fingertip haptic interface for the rendering of virtual Shapes and surface features},   year={2016},  volume={},  number={},  pages={140-146},}",2016,IEEE HAPTICS,Fine roughness,Lateral motion,"Vibration, Force/deformations on the skin",Grounding-on-one-body-part,Worn,Electromagnetic Mechs,Mechanical structures (multiple 1 Dof to a multi-Dof)
43,kim2016hapthimble,HapThimble: A Wearable Haptic Device towards Usable Virtual Touch Screen,https://doi.org/10.1145/2858036.2858196,2016,ACM CHI,Fine roughness,Lateral motion,"Vibration, Force/deformations on the skin",Grounding-on-one-body-part,Worn,Electromagnetic Mechs,Mechanical structures (multiple 1 Dof to a multi-Dof)
44,chinello2015design,"Design and development of a 3RRS wearable fingertip cutaneous device
","@INPROCEEDINGS{7222547,  author={F. {Chinello} and M. {Malvezzi} and C. {Pacchierotti} and D. {Prattichizzo}},  booktitle={2015 IEEE International Conference on Advanced Intelligent Mechatronics (AIM)},   title={Design and development of a 3RRS wearable fingertip cutaneous device},   year={2015},  volume={},  number={},  pages={293-298},}",2015,IEEE AIM,Fine roughness,Lateral motion,Force/deformations on the skin,Grounding-on-one-body-part,Worn,Electromagnetic Mechs,Mechanical structures (multiple 1 Dof to a multi-Dof)
45,kim2021heterogeneous,Heterogeneous Stroke: Using Unique Vibration Cues to Improve the Wrist-Worn Spatiotemporal Tactile Display,"@inproceedings{kim2021heterogeneous,
  title={Heterogeneous Stroke: Using Unique Vibration Cues to Improve the Wrist-Worn Spatiotemporal Tactile Display},
  author={Kim, Taejun and Shim, Youngbo Aram and Lee, Geehyuk},
  booktitle={Proceedings of the 2021 CHI Conference on Human Factors in Computing Systems},
  pages={1--12},
  year={2021}
}",2021,ACM CHI,Shape,Function test,Vibration,Grounding-on-one-body-part,Worn,Electromagnetic Mechs,Spatial distribution of simple actuators
46,yoshida2020pocopo,PoCoPo: Handheld Pin-Based Shape Display for Haptic Rendering in Virtual Reality,"@inproceedings{10.1145/3313831.3376358,
author = {Yoshida, Shigeo and Sun, Yuqian and Kuzuoka, Hideaki},
title = {PoCoPo: Handheld Pin-Based Shape Display for Haptic Rendering in Virtual Reality},
year = {2020},
isbn = {9781450367080},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3313831.3376358 },
doi = {10.1145/3313831.3376358},
booktitle = {Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems},
pages = {1–13},
numpages = {13},
keywords = {handheld device, haptic device, virtual reality, Shape display},
location = {Honolulu, HI, USA},
series = {CHI ’20}
}
  
",2020,ACM CHI,"Macro roughness, Shape",Static contact,Partial proximate objects,"Ungrounding (handheld,portable) (handheld,portable)",Grasped,Electromagnetic Mechs,Spatial distribution of simple actuators
47,bianchi2016wearable,A Wearable Fabric-based Display for Haptic Multi-Cue Delivery,"@INPROCEEDINGS{7463190,  author={M. {Bianchi} and E. {Battaglia} and M. {Poggiani} and S. {Ciotti} and A. {Bicchi}},  booktitle={2016 IEEE Haptics Symposium (HAPTICS)},   title={A Wearable Fabric-based display for haptic multi-cue delivery},   year={2016},  volume={},  number={},  pages={277-283}, url={https://ieeexplore.ieee.org/document/7463190}} ",2016,IEEE HAPTICS,Hardness,Pressure,Partial proximate objects,Grounding-on-one-body-part,Worn,Material-flexibility-based Mechs,NA
48,mazursky2021magnetio,MagnetIO: Passive yet Interactive Soft Haptic Patches Anywhere,https://dl.acm.org/doi/10.1145/3411764.3445543,2021,ACM CHI,Abstracted,Function test,Vibration,Grounding-on-one-body-part,Worn,Electromagnetic Mechs,NA
49,nakanishi2014remote,Remote handshaking: touch enhances video-mediated social telepresence,https://dl.acm.org/doi/abs/10.1145/2556288.2557169,2014,ACM CHI,NA,NA,Whole proximate objects,Grounding-off-body,Encountered,Electromagnetic Mechs,Mechanical structures (multiple 1 Dof to a multi-Dof)
50,young2021ungrounded,Ungrounded Vari-Dimensional Tactile Fingertip Feedback for Virtual Object Interaction,https://dl.acm.org/doi/fullHtml/10.1145/3411764.3445369#,2021,ACM CHI,"Shape, Mass","Static contact,Pressure",Vibration,"Ungrounding (handheld,portable) (handheld,portable)",Grasped,Electromagnetic Mechs,NA
51,yun2019soft,A Soft and Transparent Visuo-Haptic Interface Pursuing Wearable Devices,"@ARTICLE{8643741,  author={S. {Yun} and S. {Park} and B. {Park} and S. {Ryu} and S. M. {Jeong} and K. {Kyung}},  journal={IEEE Transactions on Industrial Electronics},   title={A Soft and Transparent Visuo-Haptic Interface Pursuing Wearable Devices},   year={2020},  volume={67},  number={1},  pages={717-724}, url={https://ieeexplore.ieee.org/document/8643741 }}",2020,IEEE Transactions on Industrial Electronics,NA,NA,Force/deformations on the skin,Grounding-on-multiple-body-parts,Encountered,Electrostatic Mechs,Spatial distribution of simple actuators
52,schorr2017fingertip,Fingertip Tactile Devices for Virtual Object Manipulation and Exploration,https://doi.org/10.1145/3025453.3025744,2017,ACM CHI,"Fine roughness, Hardness, Mass","Pressure,Unsupported holding",Force/deformations on the skin,Grounding-on-one-body-part,Worn,Electromagnetic Mechs,Mechanical structures (multiple 1 Dof to a multi-Dof)
53,chinello2017three,A Three Revolute-Revolute-Spherical Wearable Fingertip Cutaneous Device for Stiffness Rendering,"@ARTICLE{8048023,  author={F. {Chinello} and C. {Pacchierotti} and M. {Malvezzi} and D. {Prattichizzo}},  journal={IEEE Transactions on Haptics},   title={A Three Revolute-Revolute-Spherical Wearable Fingertip Cutaneous Device for Stiffness Rendering},   year={2018},  volume={11},  number={1},  pages={39-50},}",2018,IEEE Transactions on Haptics,Hardness,"Static contact,Pressure",Force/deformations on the skin,Grounding-on-one-body-part,Worn,Electromagnetic Mechs,Mechanical structures (multiple 1 Dof to a multi-Dof)
54,leonardis20163,"A 3-RSR Haptic Wearable Device for Rendering Fingertip Contact Forces
","@ARTICLE{7784835,  author={D. {Leonardis} and M. {Solazzi} and I. {Bortone} and A. {Frisoli}},  journal={IEEE Transactions on Haptics},   title={A 3-RSR Haptic Wearable Device for Rendering Fingertip Contact Forces},   year={2017},  volume={10},  number={3},  pages={305-316},}",2017,IEEE Transactions on Haptics,Hardness,"Static contact,Pressure",Force/deformations on the skin,Grounding-on-one-body-part,Worn,Electromagnetic Mechs,Mechanical structures (multiple 1 Dof to a multi-Dof)
55,chen2019fw,FW-Touch: A Finger Wearable Haptic Interface With an MR Foam Actuator for Displaying Surface Material Properties on a Touch Screen,"@ARTICLE{8730428,  author={D. {Chen} and A. {Song} and L. {Tian} and L. {Fu} and H. {Zeng}},  journal={IEEE Transactions on Haptics},   title={FW-Touch: A Finger Wearable Haptic Interface With an MR Foam Actuator for Displaying Surface Material Properties on a Touch Screen},   year={2019},  volume={12},  number={3},  pages={281-294}, url={https://ieeexplore.ieee.org/abstract/document/8730428}}
",2019,IEEE Transactions on Haptics,"Fine roughness, Hardness","Pressure,Lateral motion",Force/deformations on the skin,Grounding-on-one-body-part,Worn,Rheological materials,NA
56,singhal2021juicy,Juicy Haptic Design: Vibrotactile Embellishments Can Improve Player Experience in Games,"@inproceedings{singhal2021juicy,
  title={Juicy Haptic Design: Vibrotactile Embellishments Can Improve Player Experience in Games},
  author={Singhal, Tanay and Schneider, Oliver},
  booktitle={Proceedings of the 2021 CHI Conference on Human Factors in Computing Systems},
  pages={1--11},
  year={2021}
}",2021,ACM CHI,"Hardness, Force/motion",NA,Vibration,"Ungrounding (handheld,portable) (handheld,portable)",Encountered,Electromagnetic Mechs,NA
57,quek2015sensory,Sensory Substitution and Augmentation Using 3-Degree-of-Freedom Skin Deformation Feedback,"@ARTICLE{7027232,  author={Z. F. {Quek} and S. B. {Schorr} and I. {Nisky} and W. R. {Provancher} and A. M. {Okamura}},  journal={IEEE Transactions on Haptics},   title={Sensory Substitution and Augmentation Using 3-Degree-of-Freedom Skin Deformation Feedback},   year={2015},  volume={8},  number={2},  pages={209-221},}",2015,IEEE Transactions on Haptics,NA,Tool mediated,Force/deformations on the skin,Grounding-off-body,Grasped,Electromagnetic Mechs,Mechanical structures (multiple 1 Dof to a multi-Dof)
58,han2017frictio,Frictio: Passive Kinesthetic Force Feedback for Smart Ring Output,https://doi.org/10.1145/3126594.3126622,2017,ACM UIST,Abstracted,NA,Force/movements across joints,Grounding-on-multiple-body-parts,Encountered,Electromagnetic Mechs,NA
59,culbertson2017waves,WAVES: A Wearable Asymmetric Vibration Excitation System for Presenting Three-Dimensional Translation and Rotation Cues,"@inproceedings{10.1145/3025453.3025741,
author = {Culbertson, Heather and Walker, Julie M. and Raitor, Michael and Okamura, Allison M.},
title = {WAVES: A Wearable Asymmetric Vibration Excitation System for Presenting Three-Dimensional Translation and Rotation Cues},
year = {2017},
isbn = {9781450346559},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3025453.3025741},
doi = {10.1145/3025453.3025741},
booktitle = {Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems},
pages = {4972–4982},
numpages = {11},
keywords = {vibration, wearable devices, haptic guidance, haptics},
location = {Denver, Colorado, USA},
series = {CHI ’17}
}
  
",2017,ACM CHI,Abstracted,NA,Vibration,Grounding-on-one-body-part,Worn,Electromagnetic Mechs,NA
60,tong2017magnetic,Magnetic Levitation Haptic Augmentation for Virtual Tissue Stiffness Perception,"@ARTICLE{8103791,  author={Q. {Tong} and Z. {Yuan} and X. {Liao} and M. {Zheng} and T. {Yuan} and J. {Zhao}},  journal={IEEE Transactions on Visualization and Computer Graphics},   title={Magnetic Levitation Haptic Augmentation for Virtual Tissue Stiffness Perception},   year={2018},  volume={24},  number={12},  pages={3123-3136}, url={https://ieeexplore.ieee.org/document/8103791 }}",2018,IEEE Transactions on Visualization and Computer Graphics,Hardness,Tool mediated,Partial proximate objects,Grounding-off-body,Grasped,Electromagnetic Mechs,Spatial distribution of simple actuators
61,zarate2020contact,Contact-free Nonplanar Haptics with a Spherical Electromagnet,"@inproceedings{zarate2020contact,
  title={Contact-free Nonplanar Haptics with a Spherical Electromagnet},
  author={Zarate, Juan Jos{\'e} and Langerak, Thomas and Thomaszewski, Bernhard and Hilliges, Otmar},
  booktitle={2020 IEEE Haptics Symposium (HAPTICS)},
  pages={698--704},
  year={2020},
  organization={IEEE}
}
https://doi.org/10.1109/HAPTICS45997.2020.ras.HAP20.33.99093c10",2020,IEEE HAPTICS,NA,Tool mediated,Partial proximate objects,Grounding-off-body,Grasped,Electromagnetic Mechs,NA
62,foo2019iterative,"Iterative Design and Development of Remotely-Controllable, Dynamic Compression Garment for Novel Haptic Experiences",https://doi.org/10.1145/3341163.3346935,2019,ACM ISWC,Abstracted,NA,Force/deformations on the skin,Grounding-on-one-body-part,Worn,Shape memory materials,Spatial distribution of simple actuators
63,delazio2018force,Force Jacket: Pneumatically-Actuated Jacket for Embodied Haptic Experiences,"@inproceedings{10.1145/3173574.3173894,
author = {Delazio, Alexandra and Nakagaki, Ken and Klatzky, Roberta L. and Hudson, Scott E. and Lehman, Jill Fain and Sample, Alanson P.},
title = {Force Jacket: Pneumatically-Actuated Jacket for Embodied Haptic Experiences},
year = {2018},
isbn = {9781450356206},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3173574.3173894 },
doi = {10.1145/3173574.3173894},
booktitle = {Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems},
pages = {1–12},
numpages = {12},
keywords = {haptics, force feedback, wearable, vibrotactile, virtual reality, pneumatic actuation},
location = {Montreal QC, Canada},
series = {CHI ’18}
}
  
",2018,ACM CHI,Abstracted,NA,"Vibration, Force/deformations on the skin",Grounding-on-one-body-part,Worn,Existing devices,Spatial distribution of simple actuators
64,zhu2020pneusleeve,"PneuSleeve: In-Fabric Multimodal Actuation and Sensing in a Soft, Compact, and Expressive Haptic Sleeve","@inproceedings{10.1145/3313831.3376333,
author = {Zhu, Mengjia and Memar, Amirhossein H. and Gupta, Aakar and Samad, Majed and Agarwal, Priyanshu and Visell, Yon and Keller, Sean J. and Colonnese, Nicholas},
title = {PneuSleeve: In-Fabric Multimodal Actuation and Sensing in a Soft, Compact, and Expressive Haptic Sleeve},
year = {2020},
isbn = {9781450367080},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3313831.3376333 },
doi = {10.1145/3313831.3376333},
booktitle = {Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems},
pages = {1–12},
numpages = {12},
keywords = {multimodal haptic display, haptics, closed-loop haptic rendering, skin stretch, pneumatic actuation, wearables, compression, vibration},
location = {Honolulu, HI, USA},
series = {CHI ’20}
}
  
",2020,ACM CHI,Abstracted,NA,"Vibration, Force/deformations on the skin",Grounding-on-one-body-part,Worn,Existing devices,Spatial distribution of simple actuators
65,muthukumarana2020touch,Touch Me Gently: Recreating the Perception of Touch Using a Shape-Memory Alloy Matrix,"@inproceedings{10.1145/3313831.3376491,
author = {Muthukumarana, Sachith and Elvitigala, Don Samitha and Forero Cortes, Juan Pablo and Matthies, Denys J.C. and Nanayakkara, Suranga},
title = {Touch Me Gently: Recreating the Perception of Touch Using a Shape-Memory Alloy Matrix},
year = {2020},
isbn = {9781450367080},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3313831.3376491 },
doi = {10.1145/3313831.3376491},
booktitle = {Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems},
pages = {1–12},
numpages = {12},
keywords = {Shape memory alloys, wearable, haptics, recreation of touch, touch perception, pinching},
location = {Honolulu, HI, USA},
series = {CHI ’20}
}
  
",2020,ACM CHI,Abstracted,NA,"Vibration, Force/deformations on the skin",Grounding-on-one-body-part,Worn,Shape memory materials,Spatial distribution of simple actuators
